MHSM WW
_______________________________________________________________________________ 
 
80.0000 0.2000E-02
81.2245 0.2028E-02
82.4490 0.2056E-02
83.6735 0.2085E-02
84.8980 0.2113E-02
86.1224 0.2142E-02
87.3469 0.2170E-02
88.5714 0.2199E-02
89.7959 0.2228E-02
91.0204 0.2258E-02
92.2449 0.2288E-02
93.4694 0.2318E-02
94.6939 0.2349E-02
95.9184 0.2380E-02
97.1429 0.2413E-02
98.3673 0.2446E-02
99.5918 0.2481E-02
100.816 0.2517E-02
102.041 0.2554E-02
103.265 0.2593E-02
104.490 0.2634E-02
105.714 0.2678E-02
106.939 0.2724E-02
108.163 0.2774E-02
109.388 0.2827E-02
110.612 0.2884E-02
111.837 0.2945E-02
113.061 0.3011E-02
114.286 0.3083E-02
115.510 0.3161E-02
116.735 0.3246E-02
117.959 0.3339E-02
119.184 0.3441E-02
120.408 0.3553E-02
121.633 0.3675E-02
122.857 0.3809E-02
124.082 0.3957E-02
125.306 0.4120E-02
126.531 0.4299E-02
127.755 0.4497E-02
128.980 0.4716E-02
130.204 0.4958E-02
131.429 0.5226E-02
132.653 0.5524E-02
133.878 0.5855E-02
135.102 0.6223E-02
136.327 0.6633E-02
137.551 0.7091E-02
138.776 0.7605E-02
140.000 0.8182E-02
